#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-120.819499,11,1245.436766
-5.901056,1,1245.496461
-118.087727,7,1245.945924
-43.910829,9,1246.596328
-70.815272,4,1246.828794
-18.922357,1,1246.888178
-15.943061,1,1246.945785
-20.042414,1,1247.00176
-24.472912,7,1247.469494
-16.025327,1,1247.528074
-163.328023,14,1248.551453
-137.523112,12,1249.552814
-145.877968,7,1250.113161
-50.09423,7,1250.520308
-37.903242,7,1250.982126
-86.833812,5,1251.279315
-55.823479,3,1251.460222
-24.038836,5,1251.785888
-31.851172,2,1251.884858
-29.685942,8,1252.385486
-55.470836,8,1252.934114
-49.843229,4,1253.186521
-37.584941,2,1253.345239
-38.560955,2,1253.508425
-128.503192,10,1254.219717
-14.908281,1,1254.277803
-15.415491,3,1254.414169
-18.582105,2,1254.5326
-6.064909,1,1254.590286
-92.169178,12,1255.459531
-47.12838,6,1255.813673
-15.668451,2,1255.928937
-100.96083,7,1256.385336
-41.706587,2,1256.480447
-18.767157,1,1256.538191
-20.485829,1,1256.592973
-68.68623,12,1257.330183
-63.995699,6,1257.695239
-17.742206,1,1257.754345
-124.578731,8,1258.233891
-148.347723,9,1258.802875
-133.888893,6,1259.216605
-40.894225,9,1259.768683
-80.807319,5,1260.072694
-7.610848,1,1260.128789
-20.253612,1,1260.189117
-12.706651,1,1260.267297
-28.196885,5,1260.584558
-109.161409,5,1260.929095
-116.927518,6,1261.360895
-5.886617,2,1261.45497
-50.715677,9,1262.129182
-12.037753,3,1262.287866
-55.824475,3,1262.519681
-20.358658,4,1262.782004
-57.838841,3,1262.961907
-60.422519,8,1263.550295
-18.624277,1,1263.608039
-49.215495,3,1263.782743
-36.10184,4,1264.02627
-61.256453,11,1264.959167
-13.03922,5,1265.262995
-16.632441,2,1265.381559
-159.407138,12,1266.096684
-132.071903,7,1266.553375
-127.670249,8,1267.029556
-27.851861,6,1267.409285
-20.961566,1,1267.466976
-113.575615,6,1267.849843
-59.293074,4,1268.065753
-84.258503,4,1268.304982
-106.647886,5,1268.63193
-23.09343,6,1269.017789
-128.472598,6,1269.450766
-20.098333,1,1269.531574
-76.958113,11,1270.223202
-35.907027,10,1270.907694
-15.283417,1,1270.966987
-77.134171,6,1271.380544
-130.647656,9,1271.964121
-24.29796,3,1272.097364
-56.589831,3,1272.27608
-120.634774,10,1272.882728
-113.034072,13,1273.804008
-51.593854,4,1274.033797
-151.838786,12,1274.798137
-25.394024,4,1275.010728
-75.14945,8,1275.554559
-43.343771,3,1275.731199
-61.705646,3,1275.943829
-19.458983,1,1276.000755
-110.610683,7,1276.449241
-92.646516,10,1277.19964
-47.830381,3,1277.441806
-198.181163,14,1278.380583
-101.284382,5,1278.764437
-103.750115,7,1279.288839
-39.957053,6,1279.697757
-21.398938,1,1279.736284
-57.359004,4,1280.069905
-11.758453,1,1280.129692
-27.648405,4,1280.369883
-117.980257,12,1281.195571
-112.462302,7,1281.648729
-52.625897,8,1282.199692
-43.965477,10,1282.981961
-40.448771,3,1283.236716
-104.852723,14,1284.257246
-3.249811,1,1284.293025
-28.59154,2,1284.38845
-143.207079,13,1285.264955
-31.467771,2,1285.379552
-23.760484,3,1285.511793
-98.396364,5,1285.795868
-146.214773,7,1286.268306
-18.00085,2,1286.404506
-116.822189,10,1287.033881
-19.302661,1,1287.091552
-168.819653,10,1287.794445
-113.730347,13,1288.781719
-76.200945,11,1289.591709
-129.077329,7,1290.109293
-139.342065,8,1290.695595
-157.915467,14,1291.768185
-23.109817,6,1292.178683
-6.271331,1,1292.261005
-19.345955,4,1292.475425
-2.348434,2,1292.596589
-17.289215,3,1292.843283
-43.808781,4,1293.081857
-139.357206,8,1293.606772
-30.223517,2,1293.743
-85.149311,4,1293.972431
-129.197373,6,1294.366733
-71.375922,4,1294.595203
-86.004851,4,1294.992648
-113.68479,6,1295.464494
-100.657618,5,1295.901957
-45.928129,4,1296.171746
-29.165229,5,1296.618875
-86.500168,4,1296.943798
-14.448605,2,1297.053229
-134.632104,8,1297.587887
-116.23417,7,1298.168639
-93.551062,11,1298.994797
-84.794663,9,1299.650939
-21.444013,1,1299.712325
-45.869283,11,1300.378695
-94.765587,5,1300.756605
-33.39907,2,1300.871268
-26.007212,2,1301.03149
-58.997216,3,1301.250898
-90.162686,9,1301.943969
-68.395069,13,1302.727864
-12.351254,1,1302.786568
-49.747444,3,1302.972504
-102.530503,8,1303.47567
-8.654704,5,1303.764495
-86.630282,10,1304.386219
-24.578409,5,1304.750124
-60.225795,3,1305.016601
-102.499488,8,1305.551497
-37.531123,2,1305.686863
-56.525573,9,1306.486757
-41.299957,5,1306.966466
-130.694779,13,1307.860291
-62.432801,3,1308.063443
-146.270885,7,1308.639806
-20.971286,2,1308.799612
-10.514796,1,1308.88204
-110.505769,6,1309.278468
-14.284702,1,1309.359514
-58.270538,6,1309.715568
-33.805414,3,1309.881703
-58.254623,10,1310.470721
-7.445925,1,1310.527708
-27.273794,2,1310.684531
-48.105374,9,1311.26813
-122.312012,13,1312.203937
-17.968449,1,1312.277395
-64.14754,3,1312.491345
-114.549807,9,1313.036062
-42.711686,4,1313.367119
-179.988016,11,1314.195862
-17.342322,1,1314.268781
-38.94501,3,1314.504617
-44.234507,2,1314.602483
-107.770007,8,1315.213442
-17.331359,1,1315.356118
-55.813014,3,1315.690289
-18.458938,1,1315.760579
-53.81809,4,1316.034407
-151.513396,7,1316.515496
-74.116784,4,1316.771693
-38.630693,5,1317.102631
-100.050202,6,1317.546103
-16.068313,1,1317.610412
-8.297119,1,1317.682266
-9.898305,2,1317.821204
-93.049859,13,1319.037557
-63.298218,5,1319.435336
-135.277903,10,1320.092647
-69.426205,5,1320.398786
-59.846111,3,1320.56835
-17.369477,1,1320.627197
-123.283171,6,1321.213973
-15.789308,1,1321.308141
-46.716317,3,1321.579576
-51.610815,5,1321.926334
-125.727556,6,1322.390022
-166.514363,9,1323.041971
-127.66085,6,1323.43468
-83.705092,4,1323.673446
-86.101887,7,1324.162569
-114.683087,10,1324.748479
-12.919362,3,1324.917693
-71.660643,4,1325.187423
-12.108348,4,1325.456058
-120.596445,9,1326.140504
-138.75956,11,1327.00776
-74.34413,4,1327.301695
-191.968689,9,1327.895797
-122.673939,6,1328.345958
-173.220164,11,1329.28947
-28.29572,5,1329.712626
-66.677713,10,1330.521772
-41.240157,7,1330.969627
-79.210326,9,1331.670277
-71.81487,5,1332.045085
-40.932566,2,1332.179424
-65.25825,5,1332.518526
-65.864207,5,1332.926827
-86.127975,5,1333.29355
-19.690314,1,1333.356915
-92.054213,6,1333.850232
-17.132908,1,1333.89371
-104.065271,12,1334.834297
-64.355602,4,1335.134215
-5.147231,1,1335.18961
-63.95748,4,1335.53629
-64.315613,3,1335.788779
-23.938049,4,1336.127546
-102.733869,8,1336.806162
-163.310937,8,1337.365056
-108.586415,8,1337.953168
-20.405924,1,1338.016323
-37.396346,4,1338.245327
-40.284566,3,1338.484559
-85.114155,10,1339.086953
-41.153186,2,1339.268373
-57.831992,6,1339.635001
-36.110171,5,1340.013913
-165.382681,14,1340.991479
-113.945116,13,1342.022812
-86.641622,4,1342.21208
-59.676937,5,1342.535435
-11.685463,3,1342.714399
-17.968214,1,1342.775194
-59.580905,6,1343.178013
-16.78977,2,1343.25299
-115.25006,10,1343.866796
-21.379378,3,1344.064465
-28.117537,5,1344.395146
-58.740277,7,1344.856938
-55.732198,6,1345.244282
-33.839615,3,1345.417588
-26.026388,2,1345.533434
-110.926076,6,1345.921902
-79.728514,11,1346.705104
-34.301576,8,1347.165734
-11.996211,2,1347.260133
-43.730075,3,1347.426662
-91.791319,12,1348.24693
-45.462287,6,1348.730171
-17.192547,1,1348.805785
-14.529557,1,1348.862036
-27.443823,2,1348.975808
-74.947501,7,1349.458482
-85.84814,7,1349.8803
-41.641438,2,1349.954886
-111.57723,6,1350.35267
-66.085812,4,1350.602042
-6.356535,1,1350.662181
-44.80443,8,1351.206854
-144.918751,9,1351.748485
-158.12031,8,1352.292736
-20.970233,1,1352.349741
-10.343471,3,1352.539712
-103.422111,5,1352.88994
-60.352719,10,1353.599353
-115.550489,10,1354.299963
-47.965421,3,1354.47358
-28.959053,3,1354.648711
-71.731044,7,1355.066494
-118.183365,10,1355.804434
-98.447018,9,1356.407741
-69.833073,4,1356.640872
-48.219639,6,1357.026433
-32.937336,3,1357.201133
-45.227103,5,1357.495508
-14.823844,1,1357.531719
-15.354528,2,1357.715358
-180.28289,13,1358.607788
-13.439964,1,1358.642614
-148.899294,7,1359.117069
-38.792453,5,1359.408934
-33.545423,2,1359.541284
-9.240513,1,1359.619022
-107.07509,11,1360.408145
-185.445059,13,1361.320447
-77.528078,5,1361.636529
-19.556639,1,1361.694406
-47.855653,3,1361.867295
-53.899648,3,1362.129846
-16.181889,3,1362.284032
-6.872732,1,1362.322002
-107.956439,5,1362.673723
-86.470314,4,1362.922584
-33.590986,4,1363.147583
-5.928864,1,1363.228295
-30.257956,3,1363.396837
-126.435511,12,1364.241856
-108.503544,10,1364.825981
-111.845935,9,1365.371162
-39.900168,2,1365.549483
-32.516678,7,1365.944881
-126.734049,12,1366.81263
-21.299549,1,1366.892622
-119.868975,6,1367.240516
-83.40971,4,1367.464819
-55.627454,3,1367.632346
-42.270647,2,1367.746849
-59.217285,6,1368.095762
-40.804074,8,1368.658459
-12.584695,4,1368.915493
-27.392993,3,1369.158225
-6.754098,1,1369.217108
-3.47096,1,1369.276208
-52.49603,5,1369.556957
-40.958251,2,1369.632082
-40.790402,2,1369.766265
-102.066329,11,1370.486194
-10.921093,4,1370.737536
-133.053152,13,1371.574748
-37.173446,5,1371.866195
-29.222039,2,1371.961977
-18.512954,3,1372.201305
-14.25907,2,1372.315157
-32.3373,3,1372.481617
-23.866238,5,1372.724945
-83.691904,4,1372.950499
-60.446841,7,1373.364727
-46.071632,6,1373.776825
-30.153074,5,1374.044655
-75.351257,7,1374.454216
-107.498573,8,1374.997006
-18.262076,1,1375.051636
-16.508742,4,1375.280235
-17.458572,1,1375.33872
-64.679299,4,1375.624331
-45.335226,4,1375.873433
-7.877206,1,1375.929365
-33.131354,4,1376.159655
-56.11289,9,1376.755647
-11.473516,2,1376.877715
-94.194464,7,1377.454833
-101.580998,7,1377.934044
-44.061315,5,1378.281319
-32.865992,5,1378.613101
-99.033051,9,1379.150956
-56.716441,7,1379.621558
-68.943513,4,1379.853208
-43.334032,7,1380.333514
-15.625836,5,1380.621614
-105.065311,5,1380.953351
-87.484765,5,1381.288844
-48.445826,3,1381.463198
-52.595024,7,1382.000121
-53.499681,8,1382.679128
-48.64752,5,1382.994099
-45.696952,4,1383.263954
-22.139541,4,1383.564232
-38.88868,6,1384.032826
-36.543533,8,1384.662916
-189.212718,13,1385.691796
-108.326451,6,1386.122241
-145.92553,7,1386.600786
-92.366013,6,1387.02161
-73.431803,8,1387.692704
-58.840423,5,1388.087641
-131.749982,6,1388.519704
-64.192166,6,1388.934281
-97.934946,9,1389.776034
-73.375028,6,1390.244565
-108.879798,15,1391.32153
-60.535698,8,1391.963522
-65.398338,4,1392.274577
-26.806248,2,1392.412507
-75.598287,4,1392.648731
-65.994867,9,1393.349481
-126.090552,6,1393.756323
-36.736932,2,1393.873164
-85.295569,12,1394.766104
-44.600614,7,1395.23387
-89.250123,5,1395.546692
-61.031757,9,1396.202655
-38.592905,5,1396.485322
-62.476399,4,1396.718188
-98.442025,10,1397.429813
-2.862817,1,1397.519846
-24.430549,3,1397.694084
-69.628142,8,1398.189785
-36.723933,4,1398.52694
-28.792544,2,1398.664725
-117.162517,7,1399.218734
-1.135872,1,1399.277024
-10.570226,1,1399.334808
-87.189893,5,1399.624422
-49.178181,4,1399.856335
-9.704065,2,1399.971532
-99.530048,5,1400.321864
-109.404004,10,1401.052823
-82.806089,7,1401.598034
-86.69398,5,1401.958986
-91.04489,9,1402.594345
-56.475956,3,1402.791018
-34.503736,9,1403.317668
-144.699787,9,1403.842115
-76.47291,7,1404.282673
-97.553411,10,1404.945692
-135.38399,14,1405.880606
-44.382514,6,1406.254113
-15.155382,3,1406.418103
-68.535025,9,1407.018234
-65.536416,5,1407.306615
-51.105724,5,1407.59808
-116.142024,8,1408.164821
-93.96752,11,1408.841926
-64.643402,3,1408.994947
-39.11323,2,1409.109642
-182.666268,12,1409.947286
-74.570223,4,1410.176536
-22.093354,1,1410.255442
-118.207828,13,1411.280062
-6.401412,3,1411.432672
-32.696699,3,1411.611124
-39.936284,6,1412.073742
-125.371977,6,1412.491195
-174.664917,8,1413.084623
-63.768958,8,1413.66416
-116.536482,7,1414.276682
-89.431404,10,1415.089468
-42.559674,2,1415.203162
-57.67569,8,1415.692319
-106.137892,6,1416.103233
-87.190108,11,1416.930053
-117.62147,6,1417.419338
-52.280981,5,1417.769497
-146.386277,12,1418.658772
-124.031298,13,1419.677707
-62.432121,4,1419.927675
-27.140515,11,1420.60772
-67.914296,4,1420.955473
-18.610154,1,1421.001569
-31.769718,3,1421.384821
-16.955159,1,1421.481622
-124.319422,13,1422.369794
-144.377087,10,1423.145526
-64.980279,6,1423.523897
-29.264972,5,1423.82143
-82.297208,4,1424.048404
-48.511384,10,1424.632764
-50.359606,7,1425.103724
-115.567789,12,1425.881486
-44.075959,3,1426.054313
-32.531674,4,1426.283691
-28.009626,3,1426.429795
-86.79477,5,1426.781242
-89.164673,6,1427.232864
-15.732649,3,1427.401345
-3.880774,3,1427.569282
-19.870576,1,1427.647325
-9.053763,1,1427.724256
-92.309479,7,1428.128475
-43.463174,3,1428.297417
-43.350361,7,1428.693613
-78.702654,7,1429.14339
-57.731407,3,1429.317938
-145.687976,7,1429.780097
-129.876371,9,1430.364459
-88.458985,7,1430.848273
-23.33943,3,1431.069462
-58.260137,3,1431.30549
-16.945004,5,1431.595096
-148.947277,14,1432.625054
-57.842123,4,1432.857755
-21.779532,7,1433.341732
-73.446668,8,1433.880913
-18.939233,3,1434.029289
-102.088156,7,1434.501182
-76.074806,4,1434.734601
-20.209597,1,1434.772994
-105.89437,8,1435.234102
-17.299143,2,1435.346454
-61.317802,3,1435.599232
-6.236034,2,1435.711663
-89.091726,8,1436.176385
-64.484676,6,1436.560171
-1.192422,1,1436.614463
-54.404885,8,1437.091897
-46.456086,7,1437.502408
-28.979105,2,1437.613364
-102.529621,5,1437.9333
-28.116408,2,1438.046674
-21.080159,1,1438.106305
-112.522454,6,1438.49831
-100.037409,7,1438.953644
-101.967242,8,1439.512218
-40.183464,2,1439.623735
-127.394758,8,1440.134437
-44.949132,3,1440.305696
-113.163934,12,1441.087634
-103.900139,6,1441.439351
-124.848865,6,1441.890374
-87.560566,4,1442.163289
-33.037644,5,1442.484686
-56.895657,10,1443.270279
-47.081467,5,1443.627729
-84.21805,11,1444.440527
-36.635241,2,1444.611812
-27.443181,7,1444.993976
-7.759874,1,1445.053158
-14.177165,1,1445.111163
-92.770409,12,1445.803474
-44.550684,3,1445.981243
-25.581091,4,1446.265855
-20.861741,1,1446.309807
-39.566434,3,1446.509064
-125.037357,7,1446.954123
-27.351762,2,1447.101481
-121.521222,13,1447.877453
-13.134184,5,1448.182245
-40.341287,2,1448.296702
-104.201187,5,1448.67304
-125.216467,13,1449.669168
-135.383126,10,1450.375225
-36.803635,7,1450.85297
-79.926623,9,1451.401769
-86.191244,4,1451.646765
-47.057572,3,1451.80713
-88.431959,4,1452.047423
-45.877524,9,1452.707992
-96.136394,10,1453.290922
-41.87906,2,1453.408904
-32.570006,2,1453.540246
-87.052479,5,1453.866708
-22.020488,3,1454.036673
-144.421352,13,1454.921554
-126.600068,7,1455.415935
-76.896918,7,1455.829443
-90.259165,5,1456.137923
-38.572692,2,1456.233023
-37.166942,3,1456.489874
-104.570506,6,1456.94784
-101.008249,10,1457.598878
-11.692766,3,1457.771516
-9.084151,1,1457.830254
-33.587898,2,1457.964518
-65.315608,5,1458.282327
-114.171911,6,1458.659845
-104.973815,9,1459.261868
-28.912754,3,1459.436462
-60.76919,4,1459.670259
-75.403697,8,1460.207547
-20.59734,1,1460.284825
-96.477485,5,1460.619855
-30.007064,2,1460.716404
-43.236361,5,1461.005883
-83.126319,8,1461.532917
-88.15019,7,1461.995954
-95.662496,6,1462.49049
-62.447725,3,1462.661906
-64.729637,3,1462.830748
-61.972063,3,1462.985342
-62.791543,3,1463.221334
-38.069884,2,1463.333946
-61.752079,8,1463.883428
-4.386758,1,1463.920244
-96.064221,5,1464.267632
-39.618844,2,1464.415023
-37.963636,3,1464.598919
-138.951237,14,1465.617669
-37.346047,2,1465.731273
-174.852003,12,1466.547712
-15.889885,1,1466.604241
-56.284683,3,1466.778849
-32.073897,4,1467.031496
-95.751171,11,1467.844229
-3.871834,1,1467.904695
-8.352289,1,1467.967295
-84.488194,4,1468.20579
-126.851198,10,1468.914719
-164.520441,9,1469.606349
-130.480684,13,1470.466372
-16.471518,1,1470.529037
-128.233415,6,1470.922912
-115.695891,6,1471.294931
-33.834431,2,1471.405102
-14.538527,1,1471.483644
-121.740273,10,1472.103198
-104.049858,5,1472.412475
-73.301125,11,1473.191798
-17.549315,1,1473.269195
-133.850754,6,1473.669307
-81.266017,4,1473.896269
-107.220825,5,1474.231658
-16.727121,1,1474.289377
-11.295805,1,1474.346642
-92.460958,5,1474.696812
-55.718559,5,1475.00987
-134.043381,10,1475.730052
-37.998229,3,1475.902805
-85.849274,4,1476.149977
-16.567131,1,1476.209126
-77.417799,4,1476.476132
-48.17554,5,1476.770614
-80.042971,11,1477.515857
-118.005799,7,1478.070804
-6.893935,2,1478.1473
-153.450691,7,1478.663808
-50.485254,7,1479.114066
-33.899341,5,1479.440896
-5.398308,3,1479.600193
-53.194642,3,1479.780868
-15.106091,4,1480.023561
-33.53452,8,1480.597248
-37.363295,2,1480.710314
-129.513333,12,1481.613494
-29.331326,4,1481.874866
-40.895508,7,1482.279133
-114.820365,8,1482.847483
-118.911004,11,1483.648152
-118.968293,6,1484.191693
-83.335883,6,1484.649652
-99.152577,9,1485.199193
-105.461971,5,1485.475685
-51.961673,3,1485.746325
-136.457313,11,1486.569574
-14.682622,1,1486.624983
-8.311272,1,1486.718666
-69.712455,6,1487.121666
-52.166033,4,1487.416261
-82.973212,12,1488.221637
-71.998891,8,1488.725034
-99.873824,5,1489.053284
-18.48611,4,1489.290226
-20.663432,1,1489.350082
-52.315837,4,1489.586201
-18.237159,1,1489.644451
-70.171418,10,1490.261087
-142.749538,7,1490.83084
-39.278564,6,1491.314053
-64.196422,3,1491.462692
-63.879945,3,1491.63132
-16.702014,5,1491.942888
-10.726871,1,1492.04178
-21.114249,1,1492.124061
-44.875144,6,1492.490082
-9.679125,4,1492.714059
-6.801672,3,1492.882924
-23.428899,1,1492.984675
-133.637553,12,1493.820394
-70.887701,4,1494.045974
-18.601498,2,1494.157345
-188.319357,14,1495.16264
-19.224143,1,1495.222129
-23.411634,2,1495.344352
-203.938832,13,1496.218804
-8.795284,1,1496.276007
-6.840038,1,1496.332319
-21.275284,1,1496.387553
-87.992249,5,1496.669659
-147.144561,13,1497.479293
-103.609077,12,1498.439806
-36.869367,2,1498.553195
-74.713982,6,1499.006113
-41.456632,5,1499.329149
-13.953928,1,1499.39594
-112.072606,5,1499.755534
-2.37852,2,1499.878204
-53.850519,3,1500.139674
-13.156435,1,1500.198048
-96.054621,8,1500.664091
-29.994198,2,1500.780003
-5.642737,1,1500.836139
-15.709487,2,1500.958382
-132.631375,12,1501.925207
-31.290232,3,1502.085172
-64.979097,4,1502.359435
-47.148939,3,1502.550773
-153.409366,9,1503.161171
-42.224749,2,1503.322715
-139.829763,8,1503.836411
-11.575834,1,1503.895286
-42.456526,2,1503.99803
-38.022803,6,1504.406185
-51.588076,3,1504.554255
-6.597856,2,1504.666028
-5.309952,2,1504.776835
-84.572534,4,1505.043318
-54.662434,15,1505.917224
-115.47378,12,1506.694727
-106.063303,5,1507.039858
-91.201912,10,1507.858941
-66.319073,6,1508.280817
-110.513826,7,1508.762374
-133.278737,6,1509.223427
-14.888013,1,1509.279274
-76.042888,9,1509.927033
-114.17667,9,1510.513762
-17.574523,2,1510.632494
-43.751915,7,1511.105816
-113.951624,6,1511.482169
-89.785819,11,1512.28413
-42.28198,2,1512.397917
-38.330304,2,1512.536883
-56.769524,6,1512.95728
-31.222878,6,1513.314534
-133.194207,7,1513.727915
-81.225883,6,1514.083241
-22.053322,1,1514.118678
-163.664257,13,1514.996562
-76.268825,5,1515.295277
-21.716064,1,1515.353305
-137.406876,12,1516.268149
-12.581328,1,1516.328377
-11.378645,1,1516.366184
-41.555604,3,1516.525066
-40.565671,2,1516.64434
-9.432471,1,1516.680669
-80.674818,7,1517.120993
-76.688831,8,1517.752403
-129.392705,8,1518.282502
-34.683203,2,1518.391451
-84.948295,4,1518.578939
-165.655679,12,1519.433392
-96.534696,5,1519.76979
-17.462189,2,1519.885133
-29.967885,4,1520.111676
-101.579379,10,1520.826866
-8.499466,1,1520.88617
-159.868612,14,1521.832361
-140.990883,10,1522.455513
-10.931175,5,1522.784218
-61.810619,3,1523.032516
-49.57387,4,1523.301398
-51.631826,9,1523.847879
-44.227645,6,1524.217409
-32.705827,2,1524.334843
-130.149689,6,1524.73499
-15.005899,1,1524.84278
-55.052638,4,1525.059354
-125.473061,6,1525.47732
-79.938798,4,1525.795099
-37.083029,2,1525.934952
-2.311741,1,1526.015433
-30.713539,8,1526.566843
-103.840195,9,1527.166035
-68.70713,5,1527.499005
-14.83362,2,1527.613413
-94.18317,8,1528.155055
-21.49912,1,1528.208747
-78.288291,27,1529.577039
-78.691023,8,1530.137516
-101.512839,14,1531.074253
-10.209707,1,1531.132385
-58.689133,7,1531.598131
-54.679593,4,1531.830589
-148.318238,7,1532.300547
-98.493527,10,1532.961042
-150.735592,8,1533.509555
-104.800118,7,1533.971611
-94.756961,6,1534.323711
-124.130319,7,1534.810294
-141.071542,13,1535.676388
-137.07907,12,1536.435267
-10.473066,1,1536.510779
-44.813956,6,1536.903559
-9.424219,1,1536.968914
-40.974488,3,1537.194505
-117.614977,13,1538.02964
-31.735243,2,1538.14435
-47.84646,8,1538.697484
-63.582593,4,1538.931259
-61.612427,5,1539.252172
-97.827677,5,1539.586143
-6.231888,1,1539.643893
-53.254579,3,1539.825765
-75.475293,6,1540.223805
-75.38709,9,1540.892474
-19.520803,1,1540.950706
-20.452126,1,1541.004605
-50.114955,3,1541.180718
-10.089435,2,1541.31939
-95.300875,6,1541.741472
-21.580446,1,1541.822825
-8.369563,1,1541.880119
-130.832602,9,1542.467611
-61.151482,10,1543.216049
-21.292828,1,1543.270437
-33.518432,3,1543.445939
-100.663218,10,1544.069118
-52.447728,6,1544.436594
-98.846105,6,1544.799563
-97.011826,10,1545.539279
-16.460717,3,1545.675038
-116.993525,7,1546.16927
-22.131136,1,1546.229811
-34.000443,2,1546.399497
-50.714154,3,1546.646589
-54.541878,3,1546.828458
-71.552804,5,1547.1229
-93.49188,5,1547.426915
-78.998309,7,1547.933444
-32.410406,2,1548.054721
-9.69561,1,1548.115389
-36.220791,8,1548.60446
-13.641088,2,1548.727917
-19.382535,1,1548.78778
-105.872219,6,1549.17267
-88.523089,9,1549.824903
-60.75408,6,1550.234207
-120.20278,9,1550.895989
-185.069206,13,1551.810445
-20.613115,1,1551.870354
-36.529571,3,1552.059994
-8.973104,1,1552.120679
-50.663341,7,1552.585631
-10.752776,1,1552.669338
-42.946986,3,1552.917353
-102.025197,6,1553.280511
-22.135595,1,1553.342312
-42.032187,2,1553.46466
-127.694197,7,1553.95885
-110.485317,5,1554.312102
-10.946692,5,1554.6754
-15.11289,2,1554.772041
-35.802749,8,1555.355361
-72.372609,5,1555.702371
-93.131846,13,1556.666198
-138.387491,10,1557.376271
-88.663388,7,1557.856294
-52.255519,10,1558.460918
-16.623024,1,1558.521281
-62.094494,7,1559.009776
-121.110112,13,1559.903135
-111.215761,9,1560.503385
-137.861462,10,1561.106717
-17.282527,1,1561.164804
-62.778884,3,1561.333425
-105.215218,12,1562.193496
-87.008086,5,1562.514331
-15.444117,4,1562.739809
-43.878492,2,1562.853998
-87.441087,4,1563.079295
-21.394772,2,1563.153972
-75.4786,4,1563.406615
-75.894627,4,1563.637574
-62.373421,3,1563.815751
-8.779319,1,1563.854596
-56.862897,3,1564.065511
-102.278658,8,1564.592019
-37.286742,2,1564.692581
-15.285457,1,1564.75114
-13.240415,1,1564.832349
-110.833564,10,1565.593547
-14.870868,1,1565.632437
-64.831236,4,1565.901216
-59.859306,8,1566.431561
-44.695767,2,1566.564174
-24.683851,2,1566.654324
-63.348292,4,1566.862948
-20.527357,1,1566.925065
-84.733551,13,1567.682371
-109.138096,6,1568.088648
-6.39097,3,1568.2421
-20.505517,7,1568.678998
-14.56304,1,1568.738247
-65.843634,4,1568.986016
-72.862503,9,1569.600617
-125.289275,7,1570.100575
-52.16808,3,1570.257675
-19.598253,1,1570.315924
-19.69869,2,1570.439109
-45.303075,2,1570.582657
-36.223235,2,1570.700927
-34.183394,3,1570.884297
-95.920092,5,1571.188782
-44.689163,3,1571.324739
-131.756945,12,1572.225538
-97.191796,11,1572.989728
-15.597725,1,1573.028337
-36.949511,3,1573.214552
-17.520426,1,1573.274212
-36.026837,3,1573.540899
-138.335334,7,1574.011719
-18.034828,1,1574.112158
-22.157031,1,1574.149533
-55.474997,3,1574.379689
-107.418488,8,1574.994238
-82.800165,6,1575.385214
-31.785896,6,1575.72487
-18.973077,1,1575.783054
-9.838725,1,1575.863928
-126.32654,6,1576.254741
-110.79152,6,1576.645826
-105.247051,5,1576.978105
-18.540373,1,1577.033349
-129.170709,10,1577.717321
-145.215634,10,1578.34109
-129.965761,14,1579.283813
-98.612401,6,1579.624292
-25.178718,8,1580.158342
-207.968089,13,1581.002438
-63.072933,6,1581.391317
-83.652538,4,1581.615736
-145.26526,8,1582.14584
-18.589049,5,1582.464643
-113.534845,5,1582.817473
-154.7486,11,1583.58283
-119.146332,7,1584.132356
-50.672408,6,1584.484143
-146.519669,9,1585.132203
-67.716567,4,1585.374938
-11.936998,2,1585.52009
-77.584282,4,1585.761848
-67.042418,4,1585.99836
-123.238287,6,1586.428833
-4.446942,1,1586.512674
-98.044005,10,1587.180823
-34.711542,3,1587.373839
-153.67939,14,1588.412117
-9.107761,2,1588.505931
-27.351003,3,1588.693933
-10.671461,2,1588.790199
-133.937347,16,1590.020762
-43.561892,3,1590.170612
-61.933345,4,1590.401368
-101.644566,5,1590.709707
-74.570942,4,1591.034619
-79.482876,8,1591.524979
-17.329855,1,1591.6061
-36.532206,2,1591.725986
-14.618866,3,1591.898278
-11.854106,1,1591.954934
-34.553941,2,1592.06688
-108.074068,12,1592.912388
-15.532222,1,1592.95008
-28.957889,2,1593.065462
-113.431421,6,1593.455017
-41.77146,2,1593.570652
-21.045551,1,1593.62419
-54.372376,10,1594.323244
-84.509057,9,1594.958352
-57.490938,10,1595.589017
-118.331978,8,1596.234781
-44.053042,3,1596.411004
-145.386518,8,1596.938962
-96.039493,5,1597.260341
-35.254888,2,1597.442438
-0.914521,1,1597.49984
-65.176243,6,1597.901229
-1.44824,1,1597.958383
-21.016194,1,1598.014484
-20.445678,2,1598.131144
-11.987744,2,1598.291381
-52.91957,7,1598.739925
-80.659644,4,1598.973882
-21.314761,3,1599.146665
-15.110746,2,1599.262048
-170.692733,11,1600.005201
-47.221356,5,1600.278248
-62.359654,7,1600.683542
-86.004538,6,1601.037884
-72.610621,6,1601.409875
-39.374038,3,1601.592996
-21.251083,1,1601.675279
-75.72992,6,1602.123761
-59.326197,11,1602.905576
-55.987862,3,1603.082839
-141.088097,8,1603.63488
-41.97802,4,1603.844275
-62.121405,3,1604.01756
-118.717064,7,1604.490476
-10.045595,1,1604.547457
-82.831104,5,1604.994567
-89.356975,5,1605.286063
