#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-128.031119,6,229.781685
-224.943853,13,230.948273
-25.94631,5,231.37192
-35.379893,6,231.901255
-49.426026,3,232.182983
-170.270188,8,232.86746
-26.241929,6,233.353218
-4.652094,1,233.439238
-18.81432,1,233.537156
-18.609614,1,233.604179
-14.005245,1,233.645379
-80.299246,4,233.850785
-74.661466,4,234.076307
-63.940403,8,234.637022
-61.751818,3,234.790761
-146.712628,13,235.754368
-15.109693,2,235.872298
-47.377005,4,236.106305
-108.375585,6,236.545813
-122.241927,11,237.210239
-200.277375,10,238.16714
-255.452359,15,239.229683
-41.312888,2,239.344551
-33.242898,5,239.715248
-78.282553,5,240.089693
-61.185313,4,240.334166
-43.632257,6,240.695168
-87.772287,4,240.90175
-14.211533,3,241.079212
-100.482823,5,241.399651
-77.897632,11,242.183251
-206.771928,14,243.202603
-62.826884,6,243.598657
-62.084805,3,243.772373
-137.553554,8,244.394148
-90.024184,10,245.136971
-17.876582,1,245.203875
-192.794963,15,246.168943
-13.146286,1,246.274273
-122.005838,6,246.639724
-24.77157,2,246.806079
-16.177681,3,246.962507
-119.049677,6,247.330292
-20.647302,1,247.366602
-168.66976,11,248.117288
-80.929478,8,248.693751
-58.143655,5,249.047718
-12.570361,5,249.366147
-29.218514,2,249.548023
-198.641412,19,251.016827
-134.866264,8,251.567978
-143.16608,8,252.095192
-41.820496,2,252.209375
-37.862033,2,252.333143
-189.49673,12,253.1983
-32.382691,2,253.31366
-35.147688,4,253.541016
-199.662727,15,254.706435
-24.094305,6,255.093735
-115.494893,8,255.573596
-23.549184,7,256.046821
-119.45961,9,256.649537
-20.095057,3,256.824866
-260.107076,16,257.978712
-38.905059,3,258.144616
-6.256964,1,258.201086
-162.486125,13,259.129179
-282.000222,14,260.132586
-40.817173,2,260.248413
-133.792744,12,261.050065
-40.56115,6,261.438449
-235.632052,12,262.291183
-30.933669,2,262.470991
-7.219225,1,262.53011
-149.263875,8,262.99279
-60.867859,8,263.461361
-12.018171,6,263.873641
-52.71667,6,264.261725
-15.530263,1,264.317956
-160.140744,14,265.303394
-27.332431,2,265.418257
-27.912485,2,265.531811
-5.716233,1,265.587668
-24.26301,2,265.701824
-20.172519,5,266.013772
-160.545559,11,266.833786
-98.959834,8,267.390294
-105.871335,7,267.840371
-138.14376,12,268.705535
-27.572087,3,268.881459
-167.865562,8,269.494792
-18.307121,2,269.60968
-14.938298,4,269.884586
-141.87512,13,270.752611
-60.370028,9,271.357258
-136.962895,15,272.397648
-78.140126,4,272.721744
-95.827387,7,273.187214
-96.016398,9,273.779254
-180.144613,17,274.926765
-195.209913,15,276.001363
-154.916582,8,276.581318
-161.679193,13,277.547789
-90.004069,6,277.961439
-63.105605,3,278.139364
-42.402044,2,278.238769
-137.744985,7,278.735168
-75.694667,8,279.366047
-134.577568,7,279.854771
-84.884351,8,280.420491
-114.49331,6,280.858603
-52.429386,3,281.130094
-110.577346,7,281.619931
-17.442321,2,281.760604
-60.309359,6,282.178244
